flow_id	analysis	starting_n	ending_n	reason	exclusion_rule	source_file
D00A	CGGA325 strict cohort	325	73	histology/diagnosis/IDH/linkage restrictions	unique matched primary GBM/WHO IV, IDH-wildtype	GBM_CLAUDE_COMPLETE_RESEARCH_HANDOFF_2026-09-02/03_MEASUREMENT_ANATOMY/bulk/input_manifests/07_de_novo_bulk/02_cohort_freeze/COHORT_DENOMINATOR_FLOW.tsv
D00B	CGGA693 strict cohort	693	108	histology/diagnosis/IDH/linkage restrictions	unique matched primary GBM/WHO IV, IDH-wildtype	GBM_CLAUDE_COMPLETE_RESEARCH_HANDOFF_2026-09-02/03_MEASUREMENT_ANATOMY/bulk/input_manifests/07_de_novo_bulk/02_cohort_freeze/COHORT_DENOMINATOR_FLOW.tsv
D01	Primary201 signature universe	201	201	none	frozen manifest	GBM_ACT6_CURRENT_CLAUDE_EVIDENCE_HANDOFF_2026-09-11/resource/PRIMARY201_MODEL_MANIFEST_FROZEN.tsv
D02	spatial score evaluability	201	200	PF4C-FINAL-105 not spatially score-evaluable	>=3 mapped genes and >=60% coverage in spatial score system	GBM_CLAUDE_COMPLETE_RESEARCH_HANDOFF_2026-09-02/03_MEASUREMENT_ANATOMY/spatial/09_de_novo_derived/12_spatial_v2_1_1/09_integrated_summary/SPATIAL_PANEL_DESCRIPTIVE_SUMMARY.tsv
D03	GeoMx evaluability	201	198	three signatures mapped only 3 genes with <80% coverage	>=3 genes and >=80% mapping coverage	GBM_SIGNATURE_FINAL_SPECIFIC_GAP_CLOSURE_V1_FINAL/03_wp3_acta_geomx/ACTA2025_PRIMARY201_EVALUABILITY.tsv
D04	Ivy StageA operating identities	201	61	pre-frozen StageA identity selection	StageA selection rule; tissue-level claim scope	GBM_R4_TRUTH_ISOLATED_DETECTABILITY_BENCHMARK_STAGEA_V1_1_2026-09-08/05_stageA_alt2/STAGEA_DETECTABILITY_BY_SIGNATURE_Q.tsv
D05	DS03 historical identities	8	8	none	historical StageB1 benchmark set	GBM_ACT6_CURRENT_CLAUDE_EVIDENCE_HANDOFF_2026-09-11/act5/06_ACT5_V2_COMPLETE_STAGEB1_DENOMINATOR.tsv
D06	DS03 alpha-adjudicable identities	8	7	FINAL-053 exact p floor 0.0625 at q100	minimum attainable exact p <=0.05	GBM_ACT6_CURRENT_CLAUDE_EVIDENCE_HANDOFF_2026-09-11/act5/06_ACT5_V2_COMPLETE_STAGEB1_DENOMINATOR.tsv
D07	DS03 all-q planted-positive worlds	640	560	80 FINAL-053 worlds	exclude alpha-unreachable identity from inferential tally	GBM_R4_POST_STAGEB1_STRATEGIC_CLOSURE_AUDIT_2026-09-09/03_null_geometry/DS03_BLOCKED_VS_NAIVE_WORLD_REVERSAL.tsv
D08	DS03 q100 planted-positive worlds	160	140	20 FINAL-053 q100 worlds	exclude alpha-unreachable identity	GBM_R4_POST_STAGEB1_STRATEGIC_CLOSURE_AUDIT_2026-09-09/03_null_geometry/DS03_BLOCKED_VS_NAIVE_WORLD_REVERSAL.tsv
D09	single-cell paired localization	66	59	7 GSE131928 patients lack paired TME score	localization_status=EVALUABLE; malignant and TME present	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/09_de_novo_derived/14_full_gene_single_cell_v2_1_2/04_patient_localization/PRIMARY201_FULL_GENE_PATIENT_DELTA.tsv
D10	CARE paired patients	56	56	none	paired primary/recurrent CARE cohort	GBM_SIGNATURE_CONTEXT_DEFORMATION_DEEPENING_V3/03_sampling_null/REAL_VS_SAMPLING_DEFORMATION.tsv
D11	CARE composition 25-cell sensitivity	56	53	3 frozen patient exclusions;identifiers not redistributed	at least two explicit compartments with >=25 cells	FIG3_ACT3_FINAL_REALDATA/03_PLOTTING_DATA/Fig3D_threshold_membership_and_exclusions.tsv
D12	CARE composition 50-cell primary	56	46	10 frozen patient exclusions;identifiers not redistributed	at least two explicit compartments with >=50 cells	FIG3_ACT3_FINAL_REALDATA/03_PLOTTING_DATA/Fig3D_threshold_membership_and_exclusions.tsv
D13	R1 regional transfer	57	12	Regions grouped by patient	ALL_AUTHOR_ANNOTATED;patient-exclusive LOPO	GBM_SIGNATURE_FINAL_MEASUREMENT_ANATOMY_SYNTHESIS_V1/scripts/20_wp2_identifiability.py
D14	R4 DS03 StageB1	57	12	Malignant regional pseudobulks grouped by donor	MALIGNANT_ONLY;donor-blocked inference	GBM_R4_STAGEB1_DS03_CALIBRATED_DETECTABILITY_TRANSPORT_2026-09-08/01_preexecution_freeze/stageb1_ds03.py
D15	CRC04 eligible segments to paired patients	85	9	Epithelial core/front segments aggregated within patient-region	T1;PanCK+;CORE/INV;source QC passed	GBM_ACT6_EVALUABLY_IMPLEMENTATION_V1/ACT6_POSTFREEZE_CRC04/CRC04_FINAL_EXECUTION_STATUS.json
