estimand_id	analysis	estimand	inferential_unit	denominator	boundary
E01	R1 cross-cohort structure	Spearman across 20,100 matched signature-pair correlations	signature pair	201 signatures; n73/n108 patients	random-panel distribution is mandatory comparator
E02	R1 ecology alignment	Spearman of PC1 model loadings with equal-weight four-ecology loading axis	signature	201	full gene-set; overlap-removed ecology alignment missing
E03	R1 patient-exclusive ecology transfer	median model-level leave-one-patient-out R2	patient	12 patients;200 models	negative R2 retained; bootstrap patients
E04	R2 Ivy association	tumor-blocked partial R2	tumor-blocked well	122 wells;10 tumors;201 models	BH across models
E05	R2 Ivy resolution	LOTO balanced accuracy	held-out tumor	10 folds;201 models	chance depends on class partition
E06	R2 matched distance	minimum-over-N cross-state distance/random median	sample then model	pool differs by partition	deprecated as inferential evidence
E07	R3 deformation	real residual magnitude minus patient null median at frozen k=7	patient	56	not therapy mechanism
E08	R3 energy ratio	composition energy/(composition+intrinsic energy)	patient	46 or53	cross term excluded; not fraction of total
E09	R3 axis absolute share	|C|/(|C|+|I|) after scalar-axis projection	patient-axis	46x4	different from vector energy ratio
E10	R3 class contrast	mean difference of model patient-median absolute shares	publication cluster	35 vs127 publications	conflicting frozen values require lock
E11	R4 recovery	detected planted-positive worlds/20 under exact blocked design	identity-world	7 adjudicable identities	capability only, not truth
E12	R4 true-null size	rejected true-null worlds/null worlds	null world	Ivy 4880;DS03 3200	supports context-specific calibration statements
E13	R5 bulk association	Spearman of membership score with frozen MES ecology score	patient	73 or108	not original prognostic-model revalidation
E14	CRC04 regional inference	Sum of equally weighted patient front-minus-core differences in median11-gene segment mean score;inclusive exact one-sided sign-flip P	patient	9 paired patients;85 PanCK-positive segments;512 sign assignments	Unsigned membership;domain-bound regional contrast;no original weighted predictor equivalence
E15	R1/R4 DS03 scope separation	R1 four-axis ALL_AUTHOR_ANNOTATED patient-exclusive CV R2;R4 MALIGNANT_ONLY donor-blocked positive recovery	patient/donor	57 regional measurements;12 patients per separately frozen scope	Do not substitute R4 malignant-only scores for the R1 transfer estimand
