result_id	results_section	figure_panel	manuscript_claim_short	reported_value	reported_n	statistical_unit	frozen_result_source	authority_file	authority_row_or_key	executable_receipt	source_script_or_function	public_reproduction_module	reproduction_level	status	notes
R1-UNIVERSE	R1	1a;6a	Curated representation and publication universe	201;197	201 representations;197 publications	representation/publication	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/representation_publications.tsv	201 model_instance_id;197 publication_id	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R1-OVERLAP	R1	1b	Molecular overlap	96.4%;median Jaccard 0	20100 pairs	representation pair	publication_supplement_final/Supplementary_Table_S1.tsv	resources/signatures/Primary201_canonical.tsv	all201 unordered pairs	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Recalculated from safe frozen aggregates;not original source-level fitting.
R1-N-CGGA325	R1	1a	CGGA325 eligible patients	73	73	patient	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	line4;estimate	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R1-N-CGGA693	R1	1a	CGGA693 eligible patients	108	108	patient	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	line5;estimate	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R1-CONCORDANCE	R1	1b	Cross-cohort structure exceeds matched panels	0.731;P<0.001	1000 matched panels;20100 pairs	panel	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	6	Frozen authority SHA256=b9057e0b7251e842e2e5f9cbe67e3a4cbb7ff946ea28bef40e234ce85a7610fc; upstream execution not inferred from filename	UNTRACED	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Original generating-code lineage remains untraced; no fabricated mapping.
R1-ECO-CGGA325	R1	1c	Full-gene ecological alignment CGGA325	0.939	201 representations	panel	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	9	Frozen authority SHA256=b9057e0b7251e842e2e5f9cbe67e3a4cbb7ff946ea28bef40e234ce85a7610fc; upstream execution not inferred from filename	UNTRACED	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Original generating-code lineage remains untraced; no fabricated mapping.
R1-ECO-CGGA693	R1	1c	Full-gene ecological alignment CGGA693	0.957	201 representations	panel	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	10	Frozen authority SHA256=b9057e0b7251e842e2e5f9cbe67e3a4cbb7ff946ea28bef40e234ce85a7610fc; upstream execution not inferred from filename	UNTRACED	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Original generating-code lineage remains untraced; no fabricated mapping.
R1-PC1	R1	1c	CGGA693 PC1 variance unexceptional	58.0%;P=1.00	1000 panels	panel	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	8	Frozen authority SHA256=b9057e0b7251e842e2e5f9cbe67e3a4cbb7ff946ea28bef40e234ce85a7610fc; upstream execution not inferred from filename	UNTRACED	analysis/99_validate_release.R	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Printed precision validated against frozen aggregate; generating pipeline not thereby certified. Original generating-code lineage remains untraced; no fabricated mapping.
R1-REMOVED	R1	1c	Overlap-removed structure preserved	0.691 versus 0.731	201 representations	panel	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/supplement_S1.tsv	line16;estimate	reproducibility/SCRIPT_CERTIFICATION.tsv:08;AGGREGATE_SOURCE_HASHES.tsv	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	Not overlap-removed ecology alignment. Original generating-code lineage remains untraced; no fabricated mapping. Certified only as extraction/summary of current frozen aggregate. No source-level generator or inferential null is invented.
R1-LOCALIZATION	R1	1d	Malignant;TME;mixed;unstable localization	130;35;16;20	59 paired patients;7 studies	patient	publication_supplement_final/Supplementary_Table_S1.tsv	results_reference/localization_classes.tsv	all201	reproducibility/SCRIPT_CERTIFICATION.tsv:08	UNTRACED	analysis/08_aggregate_evidence.py	AGGREGATE_VALIDATION	CERTIFIED_WITH_LIMITATION	 Original generating-code lineage remains untraced; no fabricated mapping. Recalculated from safe frozen aggregates;not original source-level fitting.
